"Source Path","Destination Path","Size (Bytes)","Size (Human)","Time (ms)","Status","Error Detail"
"T:/$RECYCLE.BIN\S-1-5-21-402136527-3195794998-2522713692-1001\$IPQ5H4B","B:/Temp_Working(T)\$RECYCLE.BIN\S-1-5-21-402136527-3195794998-2522713692-1001\$IPQ5H4B","128","128 B","262.8","Success",""
"T:/$RECYCLE.BIN\S-1-5-21-402136527-3195794998-2522713692-1001\desktop.ini","B:/Temp_Working(T)\$RECYCLE.BIN\S-1-5-21-402136527-3195794998-2522713692-1001\desktop.ini","129","129 B","1.5","Success",""
"T:/Picture_Backup\IMG_0044-51.png","B:/Temp_Working(T)\Picture_Backup\IMG_0044-51.png","1765293","1.68 MB","55.3","Success",""
"T:/Picture_Backup\IMG_0050-11.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0050-11.jpg","3143558","3.00 MB","27.4","Success",""
"T:/Picture_Backup\IMG_0050-2.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0050-2.jpg","3105437","2.96 MB","73.7","Success",""
"T:/Picture_Backup\IMG_0051-13.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0051-13.JPG","3106250","2.96 MB","141.2","Success",""
"T:/Picture_Backup\IMG_0051.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0051.jpg","3106250","2.96 MB","11.3","Success",""
"T:/Picture_Backup\IMG_0055-29.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0055-29.JPG","310315","303.04 KB","3.8","Success",""
"T:/Picture_Backup\IMG_0055-38.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0055-38.JPG","4460744","4.25 MB","81.0","Success",""
"T:/Picture_Backup\IMG_0056-10.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0056-10.jpg","2798583","2.67 MB","9.5","Success",""
"T:/Picture_Backup\IMG_0056-13.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0056-13.JPG","3181388","3.03 MB","72.7","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0056-13.JPG'"
"T:/Picture_Backup\IMG_0056-16.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0056-16.JPG","2827014","2.70 MB","9.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0056-16.JPG'"
"T:/Picture_Backup\IMG_0062-33.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0062-33.JPG","3172187","3.03 MB","119.7","Success",""
"T:/Picture_Backup\IMG_0063-27.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0063-27.JPG","3227952","3.08 MB","145.2","Success",""
"T:/Picture_Backup\IMG_0063-29.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0063-29.JPG","3294754","3.14 MB","10.7","Success",""
"T:/Picture_Backup\IMG_0064-20.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0064-20.JPG","640013","625.01 KB","4.1","Success",""
"T:/Picture_Backup\IMG_0066-17.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0066-17.JPG","3158069","3.01 MB","73.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0066-17.JPG'"
"T:/Picture_Backup\IMG_0069-25.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0069-25.JPG","579086","565.51 KB","4.5","Success",""
"T:/Picture_Backup\IMG_0069.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0069.jpg","3188184","3.04 MB","11.2","Success",""
"T:/Picture_Backup\IMG_0070-35.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0070-35.JPG","283411","276.77 KB","3.1","Success",""
"T:/Picture_Backup\IMG_0071.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0071.jpg","3900172","3.72 MB","78.1","Success",""
"T:/Picture_Backup\IMG_0081-15.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0081-15.JPG","205604","200.79 KB","3.2","Success",""
"T:/Picture_Backup\IMG_0083-34.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0083-34.JPG","199245","194.58 KB","2.6","Success",""
